iter	Passed	Remaining
397	759	1148
398	760	1145
399	762	1144
400	764	1141
401	766	1139
402	768	1137
403	770	1136
404	771	1133
405	773	1132
406	775	1130
407	777	1128
408	779	1126
409	781	1124
410	783	1122
411	785	1120
412	786	1118
413	788	1116
414	790	1113
415	791	1111
416	794	1110
417	796	1108
418	797	1106
419	799	1103
420	801	1102
421	802	1099
422	804	1097
423	806	1095
424	808	1093
425	809	1091
426	811	1089
427	813	1087
428	815	1085
429	817	1083
430	818	1080
431	820	1079
432	822	1077
433	824	1074
434	826	1073
435	828	1071
436	830	1069
437	832	1067
438	834	1065
439	835	1063
440	837	1061
441	839	1059
442	841	1058
443	843	1055
444	845	1054
445	846	1051
446	848	1049
447	850	1047
448	852	1045
449	853	1043
450	855	1041
451	857	1039
452	859	1038
453	861	1035
454	863	1034
455	865	1032
456	867	1030
457	869	1028
458	871	1026
459	873	1024
460	875	1023
461	879	1023
462	880	1021
463	882	1019
464	884	1018
465	887	1016
466	888	1014
467	890	1012
468	892	1010
469	894	1009
470	896	1006
471	898	1004
472	900	1003
473	902	1000
474	904	999
475	906	997
476	908	996
477	910	994
478	912	992
479	914	990
480	915	988
481	917	986
482	919	984
483	921	982
484	923	980
485	925	978
486	927	977
487	929	975
488	931	973
489	933	971
490	935	969
491	937	967
492	939	966
493	941	964
494	943	962
495	945	960
496	947	958
497	949	956
498	951	955
499	953	953
500	955	951
501	957	949
502	959	947
503	961	946
504	963	944
505	965	942
506	967	940
507	969	938
508	971	937
509	973	935
510	975	933
511	977	931
512	979	929
513	981	928
514	983	926
515	986	924
516	988	923
517	990	921
518	992	919
519	994	917
520	996	915
521	998	913
522	1000	912
523	1002	910
524	1003	908
525	1006	906
526	1008	905
527	1009	902
528	1011	900
529	1013	898
530	1015	896
531	1017	894
532	1019	892
533	1021	891
534	1022	888
535	1024	886
536	1025	884
537	1027	882
538	1029	880
539	1031	878
540	1034	877
541	1035	875
542	1037	873
543	1040	871
544	1041	869
545	1044	868
546	1046	866
547	1048	864
548	1050	862
549	1052	860
550	1053	858
551	1055	856
552	1057	854
553	1059	852
554	1061	850
555	1062	848
556	1065	847
557	1066	845
558	1068	843
559	1070	841
560	1072	839
561	1074	837
562	1076	835
563	1078	833
564	1080	831
565	1082	829
566	1084	828
567	1086	826
568	1087	824
569	1089	821
570	1091	820
571	1093	817
572	1094	815
573	1096	813
574	1098	812
575	1100	810
576	1102	807
577	1104	806
578	1106	804
579	1107	802
580	1109	800
581	1111	798
582	1113	796
583	1115	794
584	1117	792
585	1119	790
586	1120	788
587	1123	786
588	1125	785
589	1127	783
590	1130	782
591	1131	780
592	1133	778
593	1135	776
594	1137	774
595	1139	772
596	1141	770
597	1143	768
598	1145	766
599	1147	765
600	1149	763
601	1151	761
602	1153	759
603	1155	757
604	1157	755
605	1159	753
606	1160	751
607	1162	749
608	1164	747
609	1166	745
610	1168	743
611	1170	741
612	1172	739
613	1173	737
614	1175	735
615	1177	734
616	1179	732
617	1181	730
618	1183	728
619	1185	726
620	1186	724
621	1189	722
622	1191	720
623	1192	718
624	1194	716
625	1196	715
626	1198	713
627	1200	710
628	1202	709
629	1204	707
630	1205	705
631	1207	703
632	1209	701
633	1211	699
634	1213	697
635	1215	695
636	1217	693
637	1219	691
638	1221	689
639	1223	688
640	1225	686
641	1226	684
642	1229	682
643	1230	680
644	1232	678
645	1234	676
646	1236	674
647	1238	672
648	1240	670
649	1242	669
650	1244	666
651	1245	664
652	1247	663
653	1249	661
654	1251	659
655	1253	657
656	1256	655
657	1258	653
658	1259	651
659	1261	650
660	1263	648
661	1265	646
662	1267	644
663	1269	642
664	1270	640
665	1273	638
666	1275	636
667	1276	634
668	1278	632
669	1280	630
670	1282	628
671	1284	626
672	1286	625
673	1288	623
674	1290	621
675	1291	619
676	1293	617
677	1295	615
678	1297	613
679	1299	611
680	1301	609
681	1303	607
682	1305	605
683	1307	603
684	1308	601
685	1310	599
686	1312	597
687	1314	595
688	1316	594
689	1318	592
690	1319	590
691	1321	588
692	1324	586
693	1326	584
694	1328	582
695	1329	580
696	1332	579
697	1334	577
698	1335	575
699	1337	573
700	1339	571
701	1341	569
702	1343	567
703	1345	565
704	1347	563
705	1349	561
706	1351	560
707	1353	558
708	1355	556
709	1357	554
710	1358	552
711	1360	550
712	1362	548
713	1364	546
714	1365	544
715	1367	542
716	1369	540
717	1371	538
718	1372	536
719	1374	534
720	1376	532
721	1378	530
722	1380	528
723	1382	527
724	1384	525
725	1386	523
726	1388	521
727	1390	519
728	1391	517
729	1393	515
730	1395	513
731	1397	511
732	1399	509
733	1400	507
734	1402	505
735	1404	503
736	1407	502
737	1409	500
738	1410	498
739	1412	496
740	1414	494
741	1416	492
742	1417	490
743	1419	488
744	1421	486
745	1423	484
746	1425	482
747	1427	480
748	1429	478
749	1431	477
750	1433	475
751	1435	473
752	1437	471
753	1439	469
754	1441	467
755	1443	465
756	1445	463
757	1447	461
758	1448	459
759	1450	458
760	1452	456
761	1454	454
762	1456	452
763	1458	450
764	1460	448
765	1462	446
766	1463	444
767	1466	442
768	1467	440
769	1469	438
770	1471	437
771	1473	435
772	1475	433
773	1476	431
774	1479	429
775	1480	427
776	1482	425
777	1485	423
778	1487	421
779	1488	419
780	1491	418
781	1493	416
782	1495	414
783	1496	412
784	1499	410
785	1500	408
786	1502	406
787	1504	404
788	1506	402
789	1508	401
790	1510	399
791	1512	397
792	1514	395
793	1516	393
794	1518	391
795	1520	389
796	1522	387
797	1523	385
798	1525	383
799	1527	381
800	1530	380
801	1532	378
802	1534	376
803	1536	374
804	1538	372
805	1539	370
806	1542	368
807	1544	366
808	1546	365
809	1548	363
810	1550	361
811	1552	359
812	1554	357
813	1556	355
814	1558	353
815	1561	352
816	1563	350
817	1565	348
818	1567	346
819	1569	344
820	1571	342
821	1572	340
822	1574	338
823	1576	336
824	1578	334
825	1579	332
826	1581	330
827	1583	328
828	1585	327
829	1586	325
830	1588	323
831	1590	321
832	1591	319
833	1593	317
834	1595	315
835	1597	313
836	1599	311
837	1601	309
838	1603	307
839	1604	305
840	1606	303
841	1608	301
842	1610	299
843	1612	298
844	1614	296
845	1616	294
846	1617	292
847	1619	290
848	1622	288
849	1623	286
850	1625	284
851	1627	282
852	1629	280
853	1631	278
854	1633	276
855	1634	275
856	1636	273
857	1638	271
858	1641	269
859	1643	267
860	1645	265
861	1647	263
862	1649	261
863	1651	259
864	1653	258
865	1655	256
866	1657	254
867	1659	252
868	1662	250
869	1664	248
870	1666	246
871	1668	244
872	1669	242
873	1671	241
874	1674	239
875	1676	237
876	1678	235
877	1680	233
878	1682	231
879	1684	229
880	1686	227
881	1688	225
882	1690	223
883	1692	222
884	1693	220
885	1695	218
886	1697	216
887	1699	214
888	1701	212
889	1703	210
890	1705	208
891	1706	206
892	1708	204
893	1710	202
894	1712	200
895	1714	198
896	1716	197
897	1718	195
898	1719	193
899	1721	191
900	1723	189
901	1725	187
902	1726	185
903	1728	183
904	1730	181
905	1732	179
906	1734	177
907	1736	175
908	1737	173
909	1740	172
910	1741	170
911	1744	168
912	1746	166
913	1748	164
914	1750	162
915	1752	160
916	1754	158
917	1756	156
918	1758	155
919	1760	153
920	1762	151
921	1764	149
922	1766	147
923	1768	145
924	1770	143
925	1772	141
926	1774	139
927	1776	137
928	1777	135
929	1779	133
930	1781	132
931	1783	130
932	1785	128
933	1787	126
934	1789	124
935	1790	122
936	1792	120
937	1794	118
938	1796	116
939	1798	114
940	1799	112
941	1801	110
942	1803	109
943	1805	107
944	1806	105
945	1811	103
946	1813	101
947	1815	99
948	1816	97
949	1818	95
950	1820	93
951	1822	91
952	1824	89
953	1826	88
954	1828	86
955	1830	84
956	1831	82
957	1833	80
958	1835	78
959	1838	76
960	1840	74
961	1842	72
962	1844	70
963	1846	68
964	1848	67
965	1849	65
966	1851	63
967	1853	61
968	1855	59
969	1856	57
970	1858	55
971	1860	53
972	1862	51
973	1864	49
974	1866	47
975	1868	45
976	1870	44
977	1872	42
978	1874	40
979	1875	38
980	1877	36
981	1879	34
982	1881	32
983	1882	30
984	1884	28
985	1887	26
986	1889	24
987	1891	22
988	1894	21
989	1896	19
990	1898	17
991	1900	15
992	1902	13
993	1904	11
994	1907	9
995	1908	7
996	1910	5
997	1912	3
998	1914	1
999	1915	0
